NaiveSort
1, 0, 30, 4.90689, 24, 0.847997
2, 1, 35, 5.12928, 19, 0.625604
4, 2, 48, 5.58496, 12, 0.321928
8, 3, 81, 6.33985, 10, 0.167945
16, 4, 155, 7.27612, 13, 0.116193
32, 5, 480, 8.90689, 38, 0.109918
64, 6, 1470, 10.5216, 1843, 1.17232
128, 7, 3627, 11.8246, 127, 0.0496519
256, 8, 13527, 13.7236, 3626, 0.342619
512, 9, 42887, 15.3883, 6091, 0.191593
1024, 10, 185800, 17.5034, 7837, 0.0596041
2048, 11, 966691, 19.8827, 106118, 0.150267
4096, 12, 2802885, 21.4185, 231735, 0.114603
8192, 13, 10721620, 23.354, 1159315, 0.148125
16384, 14, 43959404, 25.3897, 9599633, 0.284958
32768, 15, 176796374, 27.3975, 6521131, 0.0522559
65536, 16, 803165854, 29.5811, 25318882, 0.0447772
131072, 17, 3464641792, 31.6901, 124056697, 0.0507545
[3527402402, 3440499018, 3440921842, 3534422332, 3434274616, 3424060742, 3434534852, 3474235555, 3470760683, 3430308645, 3424594098, 3619070020, 3397428529, 3475479623, 3393529578, 3421675897, 3420799679, 3447724467, 3383911466, 3347779031, 3565543591, 3446424756, 3430205261, 3411512475, 3417549120, 3390457185, 3460225595, 3415963955, 3474498067, 3389083129, 3412430815, 3366343678, 3387210783, 3392908106, 3974224520, 4259534685, 3755518399, 3848636419, 3553349577, 3419465003, 3398257205, 3447242120, 3442274072, 3430531813, 3361290767, 3357319539, 3382345951, 3379579888, 3350065560, 3411788448, 3441594966, 3474955638, 3390839851, 3398728091, 3407129256, 3500593319, 3465311919, 3435595265, 3471682549, 3416296635, 3478010664, 3385913681, 3383695773, 3377947990, 3466664809, 3422348683, 3396376251, 3394550143, 3448394896, 3399965780, 3457141244, 3430911181, 3755545771, 3433551895, 3513710045, 3490150168, 3474223465, 3473449635, 3443400893, 3475543478, 3458671040, 3448648047, 3448542468, 3492868249, 3454622839, 3469423078, 3409465350, 3521654172, 3624479628, 3553126088, 3547919440, 3498489221, 3367760730, 3437836038, 3443524026, 3386787062, 3453604946, 3441583206, 3444315192, 3381440920]
PrefixDoubling
1, 0, 78, 6.2854, 102, 1.20645
2, 1, 139, 7.11894, 38, 0.348664
4, 2, 236, 7.88264, 69, 0.370022
8, 3, 353, 8.46352, 108, 0.385099
16, 4, 657, 9.35975, 189, 0.364764
32, 5, 1185, 10.2107, 213, 0.238477
64, 6, 2777, 11.4393, 1328, 0.563855
128, 7, 5282, 12.3669, 175, 0.0470237
256, 8, 12691, 13.6315, 2559, 0.265003
512, 9, 26152, 14.6746, 4232, 0.216391
1024, 10, 55919, 15.7711, 6091, 0.149162
2048, 11, 118630, 16.8561, 8373, 0.0983937
4096, 12, 255860, 17.965, 11633, 0.0641465
8192, 13, 980969, 19.9038, 2348765, 1.76313
16384, 14, 2240249, 21.0952, 1222787, 0.628378
32768, 15, 2767502, 21.4002, 1095072, 0.480978
65536, 16, 9684610, 23.2073, 1041238, 0.147326
131072, 17, 33553771, 25, 7262963, 0.282686
